,0
2028,brisk
2029,acidity
2030,crisp
2031,velvety
2032,mouthfeel
2033,finish
2034,consolidates
2035,notes
2036,pipe
2037,tobacco
2038,hazelnut
2039,savory
2040,leaning
2041,complexly
2042,sweet
2043,jackfruit
2044,black
2045,sesame
2046,freesia
2047,agave
2048,syrup
2049,fresh
2050,cut
2051,oak
2052,aroma
2053,cup
2054,savory
2055,sweet
2056,structure
2057,juicy
2058,apple
2059,malic
2060,acidity
2061,crisp
2062,dry
2063,vermouth
2064,mouthfeel
2065,quiet
2066,finish
2067,notes
2068,jackfruit
2069,black
2070,sesame
2071,complex
2072,multi
2073,layered
2074,resonantly
2075,deep
2076,dark
2077,chocolate
2078,summer
2079,savory
2080,herb
2081,creme
2082,brulee
2083,asian
2084,pear
2085,violet
2086,aroma
2087,cup
2088,sweet
2089,savory
2090,structure
2091,richly
2092,bittersweet
2093,acidity
2094,syrupy
2095,smooth
2096,mouthfeel
2097,crisply
2098,chocolaty
2099,finish
2100,supported
2101,asian
2102,pear
2103,summer
2104,savory
2105,notes
2106,crisply
2107,sweet
2108,brightly
2109,tart
2110,tamarind
2111,pineapple
2112,taffy
2113,almond
2114,lime
2115,zest
2116,magnolia
2117,aroma
2118,cup
2119,sweetly
2120,tart
2121,structure
2122,brisk
2123,acidity
2124,smooth
2125,syrupy
2126,mouthfeel
2127,crisply
2128,fruity
2129,finish
2130,undertones
2131,almond
2132,butter
2133,cocoa
2134,bright
2135,vibrant
2136,cocoa
2137,nib
2138,pink
2139,grapefruit
2140,zest
2141,pomegranate
2142,freesia
2143,flowers
2144,cedar
2145,aroma
2146,cup
2147,balanced
2148,sweet
2149,tart
2150,structure
2151,juicy
2152,acidity
2153,syrupy
2154,smooth
2155,mouthfeel
2156,cocoa
2157,finish
2158,complicated
2159,spicy
2160,floral
2161,tones
2162,richly
2163,fruit
2164,cocoa
2165,driven
2166,bing
2167,cherry
2168,lychee
2169,tangerine
2170,cocoa
2171,nib
2172,magnolia
2173,aroma
2174,cup
2175,sweet
2176,gently
2177,tart
2178,structure
2179,juicy
2180,acidity
2181,plush
2182,viscous
2183,mouthfeel
2184,resonantly
2185,integrated
2186,fruity
2187,cocoa
2188,finish
2189,richly
2190,sweet
2191,nut
2192,almond
2193,nougat
2194,tangerine
